                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.4257,                 1.1182,                 1.4872,                0.78661,                0.65278,                0.74746,                0.41897,                 1.5518,                 1.1901,                 1.6396,               0.006733,               0.006733,               0.006733
                     36,                 1.4104,                 1.0915,                 1.4745,                0.76514,                0.68123,                0.74977,                0.41985,                 1.5392,                 1.2053,                 1.6162,               0.006634,               0.006634,               0.006634
                     37,                 1.4065,                 1.0847,                 1.4647,                0.75521,                0.67368,                0.73933,                0.41838,                 1.5669,                 1.2972,                 1.6545,               0.006535,               0.006535,               0.006535
                     38,                 1.3954,                 1.0529,                 1.4651,                0.79738,                0.64583,                0.74488,                0.42455,                 1.5458,                 1.1922,                 1.6269,               0.006436,               0.006436,               0.006436
                     39,                 1.3852,                 1.0488,                 1.4585,                0.77382,                0.69753,                0.76039,                0.42576,                  1.581,                 1.1183,                 1.6467,               0.006337,               0.006337,               0.006337
                     40,                 1.3939,                 1.0559,                 1.4607,                0.77032,                0.68364,                0.75267,                0.42629,                 1.5218,                 1.1409,                 1.6177,               0.006238,               0.006238,               0.006238
                     41,                 1.3636,                 1.0154,                 1.4372,                 0.7609,                0.70226,                 0.7606,                0.42839,                 1.5296,                 1.1479,                   1.61,               0.006139,               0.006139,               0.006139
                     42,                 1.3679,                 1.0177,                 1.4474,                 0.7832,                0.67593,                0.74942,                0.42787,                 1.5117,                 1.1904,                 1.6245,                0.00604,                0.00604,                0.00604
                     43,                 1.3481,                 1.0066,                 1.4299,                0.76539,                0.68471,                0.75319,                0.42698,                 1.5789,                  1.115,                 1.6379,               0.005941,               0.005941,               0.005941
                     44,                 1.3412,                0.98882,                 1.4231,                0.77089,                 0.6984,                0.76317,                0.43652,                 1.5107,                 1.1197,                 1.6059,               0.005842,               0.005842,               0.005842
                     45,                 1.3461,                0.98508,                 1.4201,                0.80356,                0.68981,                0.76894,                0.43908,                 1.5027,                 1.1463,                 1.6068,               0.005743,               0.005743,               0.005743
                     46,                 1.3283,                  0.955,                 1.4141,                0.80084,                 0.6888,                0.76088,                0.43793,                 1.5213,                 1.1174,                 1.6211,               0.005644,               0.005644,               0.005644
                     47,                 1.3133,                0.93854,                 1.3993,                 0.8001,                0.68561,                0.77122,                0.43974,                 1.5142,                  1.135,                 1.6128,               0.005545,               0.005545,               0.005545
                     48,                 1.3096,                0.93307,                 1.3951,                0.81337,                0.70525,                0.77293,                0.44681,                 1.4946,                 1.1053,                 1.5948,               0.005446,               0.005446,               0.005446
                     49,                 1.2973,                 0.9333,                   1.39,                 0.8072,                0.70525,                0.77868,                0.44574,                 1.5213,                 1.0624,                 1.6177,               0.005347,               0.005347,               0.005347
                     50,                 1.2917,                0.91392,                 1.3899,                0.77598,                0.71142,                0.77127,                0.44703,                 1.4838,                  1.066,                  1.588,               0.005248,               0.005248,               0.005248
                     51,                 1.2904,                 0.8989,                 1.3856,                0.81073,                0.67052,                0.76313,                0.44357,                 1.4993,                 1.1013,                 1.5988,               0.005149,               0.005149,               0.005149
                     52,                 1.2793,                0.89236,                 1.3679,                0.81094,                 0.6929,                0.77828,                0.44565,                 1.5066,                 1.0608,                 1.6045,                0.00505,                0.00505,                0.00505
                     53,                 1.2587,                0.86672,                  1.353,                0.81373,                 0.7037,                0.77266,                0.44143,                 1.5281,                 1.0285,                 1.6094,               0.004951,               0.004951,               0.004951
                     54,                 1.2494,                0.85291,                 1.3542,                  0.805,                0.71035,                0.77791,                0.45243,                 1.5142,                 1.0301,                 1.6116,               0.004852,               0.004852,               0.004852
                     55,                 1.2412,                0.86409,                 1.3411,                0.80993,                0.70602,                0.77622,                 0.4508,                 1.5169,                 1.0145,                 1.5985,               0.004753,               0.004753,               0.004753
                     56,                 1.2371,                0.84481,                 1.3433,                0.80304,                0.71451,                0.77624,                0.45151,                 1.5122,                 1.0679,                 1.6026,               0.004654,               0.004654,               0.004654
                     57,                 1.2415,                0.85122,                 1.3506,                0.78868,                0.71605,                0.77719,                0.45689,                 1.5177,                 1.0669,                 1.6097,               0.004555,               0.004555,               0.004555
                     58,                 1.2252,                0.82806,                 1.3404,                0.79989,                0.71914,                0.77194,                0.44903,                 1.5136,                 1.1005,                 1.6193,               0.004456,               0.004456,               0.004456
                     59,                 1.2179,                0.81803,                  1.333,                0.80611,                0.72145,                0.77939,                0.45651,                 1.5275,                 1.0319,                 1.6267,               0.004357,               0.004357,               0.004357
                     60,                 1.2035,                0.80854,                 1.3168,                0.80312,                0.72377,                0.77527,                0.45214,                 1.5084,                 1.0145,                 1.6047,               0.004258,               0.004258,               0.004258
