                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.5656,                 1.4166,                 1.5784,                0.57627,                0.49854,                0.53964,                0.25671,                 1.7078,                 1.3644,                 1.7086,             0.00078682,             0.00078682,             0.00078682
                     35,                 1.5561,                 1.4073,                 1.5651,                0.62844,                0.49383,                0.55285,                0.27121,                 1.6819,                 1.3392,                 1.6937,             0.00075932,             0.00075932,             0.00075932
                     36,                 1.5515,                 1.3769,                 1.5611,                0.65416,                0.52251,                 0.5832,                0.27935,                 1.7112,                  1.314,                 1.7054,             0.00073181,             0.00073181,             0.00073181
                     37,                 1.5419,                 1.3522,                 1.5458,                0.64231,                   0.53,                0.58978,                0.28308,                 1.7078,                 1.3001,                 1.7218,             0.00070431,             0.00070431,             0.00070431
                     38,                 1.5475,                 1.3484,                 1.5541,                0.65259,                0.52002,                0.58611,                0.27678,                 1.6896,                 1.3077,                 1.6862,              0.0006768,              0.0006768,              0.0006768
                     39,                 1.5238,                 1.3296,                 1.5349,                0.66732,                0.49631,                0.56815,                0.26803,                 1.7251,                  1.348,                 1.7235,              0.0006493,              0.0006493,              0.0006493
                     40,                 1.5183,                 1.3079,                 1.5342,                0.66083,                0.52781,                 0.5916,                0.27846,                  1.711,                 1.3096,                 1.7185,             0.00062179,             0.00062179,             0.00062179
                     41,                 1.5061,                  1.287,                 1.5259,                0.66656,                0.51882,                0.58983,                0.27915,                 1.6947,                 1.2788,                 1.7038,             0.00059429,             0.00059429,             0.00059429
                     42,                 1.4988,                 1.2759,                 1.5127,                0.65383,                0.51917,                0.58534,                0.27624,                 1.7001,                 1.2772,                 1.6939,             0.00056678,             0.00056678,             0.00056678
                     43,                  1.484,                 1.2514,                 1.5015,                0.64857,                 0.5475,                0.59674,                0.28836,                 1.7005,                 1.2445,                 1.7026,             0.00053927,             0.00053927,             0.00053927
                     44,                 1.4759,                 1.2346,                 1.4987,                0.65413,                0.54301,                0.60277,                0.28461,                 1.6844,                 1.2555,                 1.6917,             0.00051177,             0.00051177,             0.00051177
                     45,                 1.4642,                 1.2206,                 1.4931,                 0.6822,                0.53184,                0.60038,                0.28959,                 1.6891,                 1.2361,                 1.6861,             0.00048426,             0.00048426,             0.00048426
                     46,                 1.4428,                  1.205,                  1.474,                0.63508,                0.54753,                0.59786,                0.28652,                 1.7021,                 1.2351,                 1.6967,             0.00045676,             0.00045676,             0.00045676
                     47,                 1.4524,                    1.2,                 1.4729,                0.64873,                 0.5504,                0.60013,                0.28419,                 1.6936,                  1.239,                 1.6993,             0.00042925,             0.00042925,             0.00042925
                     48,                 1.4318,                 1.1768,                 1.4708,                0.68981,                0.53054,                0.60333,                0.29218,                 1.6795,                 1.2322,                 1.6867,             0.00040175,             0.00040175,             0.00040175
                     49,                 1.4183,                 1.1607,                 1.4639,                0.61206,                0.57846,                 0.6001,                0.29143,                 1.6765,                 1.2322,                 1.6866,             0.00037424,             0.00037424,             0.00037424
                     50,                 1.4083,                  1.141,                 1.4551,                0.63688,                 0.5594,                0.60166,                0.28868,                 1.6687,                  1.214,                 1.6868,             0.00034674,             0.00034674,             0.00034674
                     51,                 1.4144,                  1.062,                 1.4806,                0.68174,                0.54942,                0.61743,                0.29708,                 1.6751,                  1.186,                 1.6846,             0.00031923,             0.00031923,             0.00031923
                     52,                 1.3978,                 1.0299,                 1.4683,                0.67707,                0.54945,                0.60851,                0.29258,                 1.6791,                 1.1996,                 1.6889,             0.00029172,             0.00029172,             0.00029172
                     53,                 1.3771,                0.99714,                 1.4507,                 0.6853,                0.54333,                0.61818,                0.29593,                 1.6769,                 1.1818,                 1.6933,             0.00026422,             0.00026422,             0.00026422
                     54,                  1.353,                0.96641,                  1.431,                0.66988,                0.54976,                0.60875,                0.29183,                 1.6843,                 1.1853,                 1.7046,             0.00023671,             0.00023671,             0.00023671
                     55,                 1.3441,                0.94483,                 1.4222,                0.66646,                0.54408,                0.60753,                0.28861,                  1.687,                  1.188,                  1.712,             0.00020921,             0.00020921,             0.00020921
                     56,                 1.3285,                0.94321,                 1.4154,                0.66216,                 0.5503,                 0.6029,                0.28671,                 1.6941,                 1.1881,                 1.7105,              0.0001817,              0.0001817,              0.0001817
                     57,                 1.3039,                0.91652,                 1.3886,                0.66268,                0.57098,                0.59762,                0.28681,                 1.6851,                 1.1771,                  1.701,              0.0001542,              0.0001542,              0.0001542
                     58,                 1.2991,                0.90476,                 1.3948,                 0.6717,                0.55651,                0.59765,                0.28663,                 1.6874,                 1.1831,                 1.7117,             0.00012669,             0.00012669,             0.00012669
                     59,                   1.28,                0.87603,                 1.3774,                0.66093,                0.55851,                0.60168,                0.28983,                 1.6964,                 1.1661,                 1.7166,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     60,                 1.2753,                0.86301,                 1.3719,                0.64751,                0.55648,                0.59964,                0.29175,                 1.6905,                 1.1654,                 1.7137,             7.1681e-05,             7.1681e-05,             7.1681e-05
